observation_id,product_id,audit_date,viewport,assistive_technology,task_step,url,dimension,rating,severity,observation,evidence,expected_pattern,problem_type,confidence,limitation
OBS-001,MIN-01,2026-07-23,desktop,none,identificarea serviciului,https://cnred.edu.ro/,XDM,2,medium,"Traseul pleacă de pe portalul ministerului și continuă pe domeniul separat CNRED, fără ca pagina de pornire să descrie complet transferul.","Pagina CNRED grupează recunoașterea pe studii preuniversitare, universitare și proceduri pentru străinătate.","Avertizare și păstrarea contextului înaintea schimbării domeniului.",interoperability,probable,"Nu a fost depus un dosar."
OBS-002,MIN-02,2026-07-23,desktop,none,identificarea canalului,https://ms.ro/contact/petitii,CNT,2,medium,"Pagina explică adresele de trimitere, dar inițierea pornește prin descărcarea unui formular PDF.","Instrucțiunea publică spune explicit să fie descărcat formularul de petiție și enumeră canalele poștale/electronice.","Formular HTML accesibil, cu alternativele prezentate împreună.",content,confirmed,"Formularul nu a fost completat sau transmis."
OBS-003,MIN-03,2026-07-23,desktop,none,eligibilitate și inițiere,https://mmuncii.gov.ro/servicii-digitale-venitul-minim-de-incluziune/,CNT,3,positive,"Pagina dedicată prezintă pragurile de eligibilitate și separă informarea de accesarea serviciului digital.","Sunt publicate pragurile de venit și există materiale distincte pentru cerere și completarea în HUB.","Rezultat, eligibilitate, documente și acțiune principală pe aceeași pagină.",content,confirmed,"Nu a fost parcursă autentificarea în HUB."
OBS-004,MIN-04,2026-07-23,desktop,none,inițiere petiție,https://mfinante.gov.ro/petitii,FRM,3,positive,"Petiția poate fi începută într-un formular web, fără descărcarea prealabilă a unui document.","Pagina publică expune câmpuri pentru identitatea și adresa petentului.","Formular HTML cu etichete, instrucțiuni și confirmare.",interface,confirmed,"Nu au fost introduse sau trimise date."
OBS-005,AGN-01,2026-07-23,desktop,none,găsirea certificatului,https://www.anaf.ro/,FIN,1,high,"Din pagina de intrare nu a putut fi confirmat un traseu public direct și concis către certificatul de atestare fiscală pentru persoană fizică.","Suprafața publică indexată prioritizează categorii instituționale și servicii generale; traseul exact nu a fost găsit fără căutare externă.","Pagină de serviciu intitulată prin rezultatul obținut, cu acces SPV explicat înainte de transfer.",content,probable,"Nu a fost folosit un cont SPV; absența din căutarea publică nu dovedește absența funcției."
OBS-006,AGN-02,2026-07-23,desktop,none,verificarea calității,https://cnas.ro/,FIN,2,medium,"Verificarea calității de asigurat este promovată, dar pașii pentru contestarea sau corectarea unui rezultat nu sunt atașați clar rezultatului în suprafața publică verificată.","Portalul public expune verificarea calității, iar documentația tehnică descrie răspunsurile sistemului; nu a fost identificat un traseu public echivalent pentru remediere.","Rezultat explicat cu motiv, dată, instituție responsabilă și acțiune de corectare.",process,probable,"Nu a fost introdus un CNP și nu a fost generat un rezultat real."
OBS-007,AGN-03,2026-07-23,desktop,none,începerea reclamației,https://anpc.ro/,AUT,2,medium,"Pagina instituției explică diferența dintre reclamația cu regim juridic și informarea rapidă, dar platforma de depunere cere cont aprobat.","Pagina ANPC descrie cele două rezultate; eservicii.anpc.ro precizează înainte de depunere că utilizatorul trebuie să fie înregistrat și aprobat.","Explicarea autentificării, duratei aprobării și alternativei înainte de transfer.",process,confirmed,"Nu a fost creat cont și nu s-a depus o reclamație."
OBS-008,AGN-04,2026-07-23,desktop,none,găsirea declarației,https://adr.gov.ro/accesibilitate-site-uri-web,ACC,1,high,"Pagina explică obligațiile generale de accesibilitate, dar nu funcționează ca declarație de accesibilitate a propriului portal și nu oferă vizibil limitările curente ale acestuia.","Titlul și conținutul paginii sunt despre accesibilitatea site-urilor publice în general.","Declarație proprie, datată, cu limitări, metodă de evaluare și canal de feedback.",content,confirmed,"Nu este un audit juridic complet al portalului ADR."
OBS-009,TRX-01,2026-07-23,desktop,none,alegerea plății fără cont,https://www.ghiseul.ro/ghiseul/public/taxe,AUT,4,positive,"Serviciul explică înainte de formular ce se poate și ce nu se poate face fără autentificare.","Pagina precizează că suma trebuie cunoscută și că obligațiile și istoricul nu pot fi consultate fără cont.","Dezvăluire progresivă a autentificării și consecințelor sale.",content,confirmed,"Plata nu a fost inițiată și nu au fost introduse date."
OBS-010,TRX-02,2026-07-23,desktop,none,selectarea județului și programarea,https://hub.mai.gov.ro/cei/programari/harta,PAY,4,positive,"Traseul oferă selecție pe județ, pagini de documente și verificarea separată a programării și stadiului cererii.","Harta de programări listează județele; serviciul publică verificarea prin e-mail și stările Preluată, Aprobată, În lucru, Finalizată.","Programare cu cerințe, confirmare, anulare și status inteligibil.",interface,confirmed,"Nu a fost rezervat un interval."
